"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"17 Μαρτίου","정교 주일을 맞아, 한국정교회 대교구는 서울 성 니콜라스 대성당에서 성화상 행렬을 하며 우리 신앙의 승리를 경축하였습니다. On the Sunday of Orthodoxy, the Orthodox Metropolis of Korea celebrated the triumph of our faith with the procession of Holy Icons at St. Nicholas Cathedral in Seoul.  정교 주일 Sunday of Orthodoxy 성 니콜라스 대성당, 서울 St. Nicholas Cathedral, Seoul 2026 #orthodox #icons #korea  #sundayoforthodoxy #greatlent","https://www.tiktok.com/@orthodox.korea/video/7612545815780805904","2 Μαρτίου","23031","441","3210","173630"
"17 Μαρτίου","Χαιρετισμοί της Θεοτόκου στον Καθεδρικό Ι.Ν. Αγίου Νικολάου, Σεούλ, Νότια Κορέα ☦️🇰🇷 성모 기립 찬양 성 니콜라스 대성당, 서울 Salutations to the Theotokos St. Nicholas Cathedral, Seoul (2026) #orthodox #christianity #Korea #faith #jesus       ","https://www.tiktok.com/@orthodox.korea/video/7614439223717842183","7 Μαρτίου","19446","397","1814","151740"
"17 Μαρτίου","☦️ “Liturgy after the Liturgy” After the Divine Liturgy at St. Nicholas Cathedral, every Sunday the “liturgy” continues with the “Agape” meal, the community’s common meal. Afterwards, the various parish groups, including the youth association (Syndesmos), hold spiritual talks and discussions with both Korean and English speaking participants. Fellowship often continues with coffee time. ☦️ 성찬예배 이후의 예배 : «전례 후의 전례» 성 니콜라스 대성당에서 거행되는 성찬예배 후에는 매 주일마다 공동체의 오찬이자 예배의 연장선인 “사랑의 오찬(Agape Meal)”을 통해 예배를 계속 이어갑니다. 사랑의 오찬 이후 성당의 여러 모임들, 특히 청년회 “신데즈모스(Syndesmos)”는 한국어와 영어를 사용하는 교우들이 커피 한잔을 나누며 영적 대화와 토론에 참여하여 교제와 친교를 나눕니다. «Η Λειτουργία μετά τη Λειτουργία» Μετά τη Θεία Λειτουργία στον Καθεδρικό Ναό του Αγίου Νικολάου, κάθε Κυριακή συνεχίζεται η «λειτουργία» με την «Αγάπη», το κοινό γεύμα της κοινότητας. Στη συνέχεια, οι διάφορες ομάδες της ενορίας, συμπεριλαμβανομένου του Συνδέσμου Νέων (Syndesmos), πραγματοποιούν πνευματικές ομιλίες και συζητήσεις με συμμετέχοντες που μιλούν κορεατικά και αγγλικά. Η επικοινωνία και η σύνδεση μεταξύ των αδελφών συνεχίζονται συχνά κατά την ώρα του καφέ. #orthodox #Korea #christianity #lent #christiancommunity ","https://www.tiktok.com/@orthodox.korea/video/7615099844952182024","9 Μαρτίου","7263","103","552","55442"
"17 Μαρτίου","Divine Liturgy at Orthodox Metropolis of Korea Sunday School Winter Camp 2026 Pt. 5 #fyp #ΚορέαΟρθοδοξία #κορεα #orthodoxkorea #정교회 #orthodox","https://www.tiktok.com/@orthodox.korea/video/7608627113117125889","24 Φεβρουαρίου","1185","39","81","11115"
"17 Μαρτίου","Orthodox Metropolis of Korea Sunday School Winter Camp Pt. 3 #fyp #ΚορέαΟρθοδοξία #κορεα #orthodoxkorea #정교회 #orthodox","https://www.tiktok.com/@orthodox.korea/video/7608626152231521537","21 Φεβρουαρίου","449","15","21","4559"
"17 Μαρτίου","Orthodox Metropolis of Korea Sunday School Winter Camp 2026 Pt. 4 #fyp #ΚορέαΟρθοδοξία #κορεα #orthodoxkorea #정교회 #orthodox","https://www.tiktok.com/@orthodox.korea/video/7608626667124231425","23 Φεβρουαρίου","272","8","3","4120"
"17 Μαρτίου","Syndesmos Young Adult Winter Camp Orthodox Metropolis of Korea 2026 #fyp#ΚορέαΟρθοδοξία #κορεα #orthodoxkorea #정교회 #orthodox","https://www.tiktok.com/@orthodox.korea/video/7608624946994040065","19 Φεβρουαρίου","228","10","17","3196"
"17 Μαρτίου","Orthodox Metropolis of Korea Youth Winter Camp Pt. 2#fyp#ΚορέαΟρθοδοξία #κορεα #orthodoxkorea #정교회 #orthodox","https://www.tiktok.com/@orthodox.korea/video/7608623701172538641","20 Φεβρουαρίου","213","11","2","3144"
"17 Μαρτίου","Orthodox Metropolis of Korea Youth Winter Camp Pt. 1 #fyp #orthodoxkorea #orthodox #정교회 #Korea #ΚορέαΟρθοδοξία #κορεα","https://www.tiktok.com/@orthodox.korea/video/7608622961913761041","19 Φεβρουαρίου","171","3","4","3051"
"17 Μαρτίου","신현축일 Feast of Theophany Orthodox Metropolis of Korea St. Nicholas Orthodox Cathedral Seoul, South Korea#fyp #orthodoxkorea #orthodox #정교회 #Korea ","https://www.tiktok.com/@orthodox.korea/video/7595200027580976385","14 Ιανουαρίου","173","4","7","2818"
