"Date","Hour","Active followers"
"10 Μαρτίου","0","561"
"10 Μαρτίου","1","355"
"10 Μαρτίου","2","281"
"10 Μαρτίου","3","217"
"10 Μαρτίου","4","204"
"10 Μαρτίου","5","227"
"10 Μαρτίου","6","382"
"10 Μαρτίου","7","566"
"10 Μαρτίου","8","644"
"10 Μαρτίου","9","651"
"10 Μαρτίου","10","679"
"10 Μαρτίου","11","679"
"10 Μαρτίου","12","723"
"10 Μαρτίου","13","779"
"10 Μαρτίου","14","845"
"10 Μαρτίου","15","858"
"10 Μαρτίου","16","842"
"10 Μαρτίου","17","878"
"10 Μαρτίου","18","862"
"10 Μαρτίου","19","911"
"10 Μαρτίου","20","957"
"10 Μαρτίου","21","1046"
"10 Μαρτίου","22","975"
"10 Μαρτίου","23","855"
"11 Μαρτίου","0","652"
"11 Μαρτίου","1","428"
"11 Μαρτίου","2","326"
"11 Μαρτίου","3","253"
"11 Μαρτίου","4","215"
"11 Μαρτίου","5","270"
"11 Μαρτίου","6","412"
"11 Μαρτίου","7","615"
"11 Μαρτίου","8","630"
"11 Μαρτίου","9","655"
"11 Μαρτίου","10","689"
"11 Μαρτίου","11","690"
"11 Μαρτίου","12","729"
"11 Μαρτίου","13","812"
"11 Μαρτίου","14","869"
"11 Μαρτίου","15","906"
"11 Μαρτίου","16","885"
"11 Μαρτίου","17","881"
"11 Μαρτίου","18","902"
"11 Μαρτίου","19","939"
"11 Μαρτίου","20","1010"
"11 Μαρτίου","21","1050"
"11 Μαρτίου","22","1032"
"11 Μαρτίου","23","908"
"12 Μαρτίου","0","678"
"12 Μαρτίου","1","476"
"12 Μαρτίου","2","329"
"12 Μαρτίου","3","264"
"12 Μαρτίου","4","227"
"12 Μαρτίου","5","296"
"12 Μαρτίου","6","421"
"12 Μαρτίου","7","636"
"12 Μαρτίου","8","641"
"12 Μαρτίου","9","681"
"12 Μαρτίου","10","697"
"12 Μαρτίου","11","712"
"12 Μαρτίου","12","749"
"12 Μαρτίου","13","842"
"12 Μαρτίου","14","905"
"12 Μαρτίου","15","915"
"12 Μαρτίου","16","908"
"12 Μαρτίου","17","899"
"12 Μαρτίου","18","909"
"12 Μαρτίου","19","967"
"12 Μαρτίου","20","1006"
"12 Μαρτίου","21","1058"
"12 Μαρτίου","22","1062"
"12 Μαρτίου","23","920"
"13 Μαρτίου","0","698"
"13 Μαρτίου","1","495"
"13 Μαρτίου","2","355"
"13 Μαρτίου","3","283"
"13 Μαρτίου","4","251"
"13 Μαρτίου","5","309"
"13 Μαρτίου","6","423"
"13 Μαρτίου","7","660"
"13 Μαρτίου","8","683"
"13 Μαρτίου","9","706"
"13 Μαρτίου","10","736"
"13 Μαρτίου","11","750"
"13 Μαρτίου","12","828"
"13 Μαρτίου","13","841"
"13 Μαρτίου","14","925"
"13 Μαρτίου","15","922"
"13 Μαρτίου","16","899"
"13 Μαρτίου","17","930"
"13 Μαρτίου","18","930"
"13 Μαρτίου","19","975"
"13 Μαρτίου","20","1046"
"13 Μαρτίου","21","1098"
"13 Μαρτίου","22","1054"
"13 Μαρτίου","23","931"
"14 Μαρτίου","0","738"
"14 Μαρτίου","1","504"
"14 Μαρτίου","2","412"
"14 Μαρτίου","3","327"
"14 Μαρτίου","4","280"
"14 Μαρτίου","5","306"
"14 Μαρτίου","6","387"
"14 Μαρτίου","7","544"
"14 Μαρτίου","8","676"
"14 Μαρτίου","9","713"
"14 Μαρτίου","10","806"
"14 Μαρτίου","11","796"
"14 Μαρτίου","12","838"
"14 Μαρτίου","13","863"
"14 Μαρτίου","14","905"
"14 Μαρτίου","15","967"
"14 Μαρτίου","16","958"
"14 Μαρτίου","17","991"
"14 Μαρτίου","18","1024"
"14 Μαρτίου","19","1066"
"14 Μαρτίου","20","1020"
"14 Μαρτίου","21","1100"
"14 Μαρτίου","22","1050"
"14 Μαρτίου","23","990"
"15 Μαρτίου","0","824"
"15 Μαρτίου","1","599"
"15 Μαρτίου","2","422"
"15 Μαρτίου","3","331"
"15 Μαρτίου","4","289"
"15 Μαρτίου","5","302"
"15 Μαρτίου","6","396"
"15 Μαρτίου","7","551"
"15 Μαρτίου","8","661"
"15 Μαρτίου","9","750"
"15 Μαρτίου","10","810"
"15 Μαρτίου","11","791"
"15 Μαρτίου","12","864"
"15 Μαρτίου","13","891"
"15 Μαρτίου","14","950"
"15 Μαρτίου","15","1006"
"15 Μαρτίου","16","988"
"15 Μαρτίου","17","1019"
"15 Μαρτίου","18","1044"
"15 Μαρτίου","19","1065"
"15 Μαρτίου","20","1045"
"15 Μαρτίου","21","1118"
"15 Μαρτίου","22","1088"
"15 Μαρτίου","23","981"
"16 Μαρτίου","0","830"
"16 Μαρτίου","1","607"
"16 Μαρτίου","2","0"
"16 Μαρτίου","3","0"
"16 Μαρτίου","4","0"
"16 Μαρτίου","5","0"
"16 Μαρτίου","6","0"
"16 Μαρτίου","7","0"
"16 Μαρτίου","8","0"
"16 Μαρτίου","9","0"
"16 Μαρτίου","10","0"
"16 Μαρτίου","11","0"
"16 Μαρτίου","12","0"
"16 Μαρτίου","13","0"
"16 Μαρτίου","14","0"
"16 Μαρτίου","15","0"
"16 Μαρτίου","16","0"
"16 Μαρτίου","17","0"
"16 Μαρτίου","18","0"
"16 Μαρτίου","19","0"
"16 Μαρτίου","20","0"
"16 Μαρτίου","21","0"
"16 Μαρτίου","22","0"
"16 Μαρτίου","23","0"
