"Date","Followers","Difference in followers from previous day"
"15 Ιανουαρίου","10","6"
"16 Ιανουαρίου","16","0"
"17 Ιανουαρίου","16","1"
"18 Ιανουαρίου","17","0"
"19 Ιανουαρίου","17","0"
"20 Ιανουαρίου","17","1"
"21 Ιανουαρίου","18","0"
"22 Ιανουαρίου","18","0"
"23 Ιανουαρίου","18","0"
"24 Ιανουαρίου","18","0"
"25 Ιανουαρίου","18","1"
"26 Ιανουαρίου","19","0"
"27 Ιανουαρίου","19","0"
"28 Ιανουαρίου","19","0"
"29 Ιανουαρίου","19","0"
"30 Ιανουαρίου","19","0"
"31 Ιανουαρίου","19","2"
"1 Φεβρουαρίου","21","0"
"2 Φεβρουαρίου","21","0"
"3 Φεβρουαρίου","21","0"
"4 Φεβρουαρίου","21","1"
"5 Φεβρουαρίου","22","0"
"6 Φεβρουαρίου","22","0"
"7 Φεβρουαρίου","22","0"
"8 Φεβρουαρίου","22","0"
"9 Φεβρουαρίου","22","-1"
"10 Φεβρουαρίου","21","0"
"11 Φεβρουαρίου","21","0"
"12 Φεβρουαρίου","21","0"
"13 Φεβρουαρίου","21","0"
"14 Φεβρουαρίου","21","0"
"15 Φεβρουαρίου","21","0"
"16 Φεβρουαρίου","21","0"
"17 Φεβρουαρίου","21","0"
"18 Φεβρουαρίου","21","0"
"19 Φεβρουαρίου","21","1"
"20 Φεβρουαρίου","22","1"
"21 Φεβρουαρίου","23","0"
"22 Φεβρουαρίου","23","0"
"23 Φεβρουαρίου","23","1"
"24 Φεβρουαρίου","24","0"
"25 Φεβρουαρίου","24","0"
"26 Φεβρουαρίου","24","0"
"27 Φεβρουαρίου","24","0"
"28 Φεβρουαρίου","24","1"
"1 Μαρτίου","25","108"
"2 Μαρτίου","133","549"
"3 Μαρτίου","682","238"
"4 Μαρτίου","920","143"
"5 Μαρτίου","1063","63"
"6 Μαρτίου","1126","528"
"7 Μαρτίου","1654","426"
"8 Μαρτίου","2080","364"
"9 Μαρτίου","2444","173"
"10 Μαρτίου","2617","134"
"11 Μαρτίου","2751","98"
"12 Μαρτίου","2849","75"
"13 Μαρτίου","2924","54"
"14 Μαρτίου","2978","139"
"15 Μαρτίου","3117","0"
