"Date","Total Viewers","New Viewers","Returning Viewers"
"16 Ιανουαρίου","313","258","55"
"17 Ιανουαρίου","46","32","14"
"18 Ιανουαρίου","14","7","7"
"19 Ιανουαρίου","24","11","13"
"20 Ιανουαρίου","10","5","5"
"21 Ιανουαρίου","11","10","1"
"22 Ιανουαρίου","4","4","0"
"23 Ιανουαρίου","9","7","2"
"24 Ιανουαρίου","4","3","1"
"25 Ιανουαρίου","6","1","5"
"26 Ιανουαρίου","10","6","4"
"27 Ιανουαρίου","6","5","1"
"28 Ιανουαρίου","5","3","2"
"29 Ιανουαρίου","2","1","1"
"30 Ιανουαρίου","4","1","3"
"31 Ιανουαρίου","6","1","5"
"1 Φεβρουαρίου","1","0","1"
"2 Φεβρουαρίου","7","5","2"
"3 Φεβρουαρίου","6","3","3"
"4 Φεβρουαρίου","4","4","0"
"5 Φεβρουαρίου","6","6","0"
"6 Φεβρουαρίου","0","0","0"
"7 Φεβρουαρίου","2","2","0"
"8 Φεβρουαρίου","6","5","1"
"9 Φεβρουαρίου","5","5","0"
"10 Φεβρουαρίου","2","2","0"
"11 Φεβρουαρίου","0","0","0"
"12 Φεβρουαρίου","3","3","0"
"13 Φεβρουαρίου","2","1","1"
"14 Φεβρουαρίου","1","1","0"
"15 Φεβρουαρίου","2","1","1"
"16 Φεβρουαρίου","3","3","0"
"17 Φεβρουαρίου","2","2","0"
"18 Φεβρουαρίου","3","1","2"
"19 Φεβρουαρίου","2","1","1"
"20 Φεβρουαρίου","179","155","24"
"21 Φεβρουαρίου","340","284","56"
"22 Φεβρουαρίου","227","166","61"
"23 Φεβρουαρίου","111","75","36"
"24 Φεβρουαρίου","378","296","82"
"25 Φεβρουαρίου","131","84","47"
"26 Φεβρουαρίου","14","8","6"
"27 Φεβρουαρίου","7","3","4"
"28 Φεβρουαρίου","5","3","2"
"1 Μαρτίου","7","6","1"
"2 Μαρτίου","9","5","4"
"3 Μαρτίου","16114","16019","95"
"4 Μαρτίου","23946","23422","524"
"5 Μαρτίου","23371","22832","539"
"6 Μαρτίου","4471","4073","398"
"7 Μαρτίου","63125","34066","29059"
"8 Μαρτίου","64339","34472","29867"
"9 Μαρτίου","39644","26805","12839"
"10 Μαρτίου","38191","18329","19862"
"11 Μαρτίου","19029","13177","5852"
"12 Μαρτίου","12838","9525","3313"
"13 Μαρτίου","9876","7408","2468"
"14 Μαρτίου","9981","6666","3315"
"15 Μαρτίου","7493","5691","1802"
"16 Μαρτίου","undefined","0","0"
