post_id,content_type,published_at,title,permalink,duration_sec,reach,views,likes,comments,shares,saves,followers_gained,platform,watch_time_sec,avg_watch_sec,link_clicks,engagement_total,engagement_rate
18088691320935505,carousel,2026-03-16 00:46:00+09:00,"한국 정교회 대교구 주간 소식 (3월 15일) | Weekly Bulletin of the Orthodox Metropolis of Korea (March 15)

#정교회 #한국정교회 #한국정교회대교구 #orthodox #orthodoxy",https://www.instagram.com/p/DV6R8VejxSK/,0,226,711,35,0,0,1,0,instagram,0,0,0,36,0.1592920353982301
18059550773400508,short_video,2026-03-15 18:14:00+09:00,"[Sunday of the Holy Cross | 십자가 경배 주일]
오늘 십자가 경배 주일을 맞아, 존귀한 십자가에 경배하며 ‘거룩한 대 사순절’의 남은 절반을 향해 나아갑니다.
십자가는 단순한 상징이 아니라 새로운 ‘생명 나무’입니다. 구약성서에서 모세가 하느님의 백성을 구하기 위해 두 팔을 십자가 모양으로 펼치고, 나무 한 그루를 던져 마라의 쓴물을 ",https://www.instagram.com/reel/DV5kW_GD2Kx/,38,2788,3953,208,6,54,12,3,instagram,0,0,0,280,0.10043041606886657
7617398220494310677,short_video,2026-03-15 00:00:00+09:00,"Σήμερα, Κυριακή της Σταυροπροσκυνήσεως, συνεχίζουμε το υπόλοιπο μισό της Αγίας και Μεγάλης Τεσσαρακοστής προσκυνώντας τον Τίμιο Σταυρό!  Ο Σταυρός δεν είναι απλώς ένα σύμβολο, αλλά το νέο «Ξύλο της Ζω",https://www.tiktok.com/@orthodox.korea/video/7617398220494310677,0,30753,30753,3787,86,272,0,0,tiktok,0,0,0,4145,0.13478359834812864
18082118027523035,short_video,2026-03-13 15:58:00+09:00,"During Great Lent, the faithful participate in the Liturgy of the Presanctified Gifts, where the Holy Gifts, pre-consecrated from the previous Sunday, are offered for Communion. 
A moment of silence, ",https://www.instagram.com/reel/DV0LYvXD2Px/,36,620,1242,127,1,7,6,6,instagram,0,0,0,141,0.22741935483870968
7616632627986009364,short_video,2026-03-13 00:00:00+09:00,"During Great Lent, the faithful participate in the Liturgy of the Presanctified Gifts, where the Holy Gifts, pre-consecrated from the previous Sunday, are offered for Communion.  A moment of silence, ",https://www.tiktok.com/@orthodox.korea/video/7616632627986009364,0,2595,2595,324,13,6,0,0,tiktok,0,0,0,343,0.13217726396917148
17927062236250314,carousel,2026-03-12 21:15:00+09:00,"[Sunday of Orthodoxy – Blessing of the Catechumens Preparing for Baptism]

On the Sunday of Orthodoxy, the Orthodox Metropolis of Korea celebrated the victory of our faith with an icon procession at S",https://www.instagram.com/p/DVyLaYTjWNR/,0,1147,2218,207,5,32,4,3,instagram,0,0,0,248,0.21621621621621623
17960138355058400,carousel,2026-03-12 20:19:00+09:00,"[Vespers of Forgiveness]

On Forgiveness Sunday, the Sunday before Great Lent after the Divine Liturgy, the faithful gathered again in the church and, with a spirit of reverence, attended the Vespers ",https://www.instagram.com/p/DVyE9EkDfDm/,0,1039,1884,186,0,37,6,6,instagram,0,0,0,229,0.22040423484119345
18109471972753586,short_video,2026-03-09 16:00:00+09:00,"☦️ 성찬예배 이후의 예배 : «전례 후의 전례»
성 니콜라스 대성당에서 거행되는 성찬예배 후에는 매 주일마다 공동체의 오찬이자 예배의 연장선인 “사랑의 오찬(Agape Meal)”을 통해 예배를 계속 이어갑니다. 사랑의 오찬 이후 성당의 여러 모임들, 특히 청년회 “신데즈모스(Syndesmos)”는 한국어와 영어를 사용하는 교우들이 커피 한잔을 나누며 영",https://www.instagram.com/reel/DVp4XC8j8Lt/,36,1187,2602,271,3,89,16,8,instagram,0,0,0,379,0.3192923336141533
7615099844952182024,short_video,2026-03-09 00:00:00+09:00,"☦️ “Liturgy after the Liturgy” After the Divine Liturgy at St. Nicholas Cathedral, every Sunday the “liturgy” continues with the “Agape” meal, the community’s common meal. Afterwards, the various pari",https://www.tiktok.com/@orthodox.korea/video/7615099844952182024,0,55715,55715,7296,103,553,0,0,tiktok,0,0,0,7952,0.14272637530288074
17957033646062918,carousel,2026-03-08 04:07:00+09:00,"✨ 비잔틴 성화 세미나 안내 ✨
한국정교회 대교구 & 일본 엑사르히아에서 그리스 성화작가 소조스 야누디스(Sozos Giannoudis) 교수님을 초빙하여 한국인 성화작가 따띠안나 서미경 작가님와 함께 비잔틴 성화 세미나를 진행합니다.
🖌 대상: 전공자 & 일반인 🎨 과정: 초급 / 고급
📍 장소: 한국정교회 대교구 (서울시 마포구 마포대로 18길 43) ",https://www.instagram.com/p/DVmCjpFjIeK/,0,605,1791,87,0,32,3,0,instagram,0,0,0,122,0.20165289256198346
17902621152379451,carousel,2026-03-08 03:15:00+09:00,"[Pastoral Visit to Okinawa and Tokyo, Japan]

From February 19 to 22, 2026, Metropolitan Ambroseios of Korea and Exarch of Japan visited Okinawa and Tokyo to serve the liturgical and pastoral needs of",https://www.instagram.com/p/DVl8kGYjPdD/,0,577,1907,123,0,2,3,0,instagram,0,0,0,128,0.2218370883882149
